"ProjectDirectory","Category","Main","ReleaseExperimental","Release2Experimental","Release2Stable","SourceBranch","SourceCommit","SourcePR","SourcePath","Disposition","Validation"
"Samples/AppLifecycle/Activation/cs/cs-winforms-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cs/cs-winforms-unpackaged/CsWinFormsActivation","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cs/cs-wpf-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cs/cs-wpf-unpackaged/CsWpfActivation","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cs1/cs-wpf-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cs1/cs-wpf-packaged/CsWpfActivation","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cs1/cs-wpf-packaged/CsWpfActivationPkg","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cs2/cs-winui-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cs2/cs-winui-packaged/CsWinUiDesktopActivation/CsWinUiDesktopActivation","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Activation/cs2/cs-winui-packaged/CsWinUiDesktopActivation/CsWinUiDesktopActivation (Package)","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/EnvironmentVariables/cpp-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/EnvironmentVariables/cpp-console-unpackaged/CppWinRtConsoleEnv","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/EnvironmentVariables/cpp-win32-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/EnvironmentVariables/cpp-win32-unpackaged/CppWinMainEnv","Main differs","different","baseline","same","same","main","18431c6d","#657","Samples/AppLifecycle/EnvironmentVariables/cpp-win32-unpackaged/CppWinMainEnv","Port main #657 C++20 fix","Blocked: v143 toolset unavailable"
"Samples/AppLifecycle/EnvironmentVariables/cs-winforms-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/EnvironmentVariables/cs-winforms-unpackaged/CsWinFormsEnv","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cpp/cpp-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cpp/cpp-console-unpackaged/CppWinRtConsoleInstancing","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cpp/cpp-win32-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cpp/cpp-win32-packaged/CppWinMainInstancing","Main differs","different","baseline","same","same","main","18431c6d","#657","Samples/AppLifecycle/Instancing/cpp/cpp-win32-packaged/CppWinMainInstancing","Port main #657 C++20 fix","Blocked: v143 toolset unavailable"
"Samples/AppLifecycle/Instancing/cpp/cpp-win32-packaged/CppWinMainInstancingPkg","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cpp/cpp-win32-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cpp/cpp-win32-unpackaged/CppWinMainInstancing","Main differs","different","baseline","same","same","main","18431c6d","#657","Samples/AppLifecycle/Instancing/cpp/cpp-win32-unpackaged/CppWinMainInstancing","Port main #657 C++20 fix","Blocked: v143 toolset unavailable"
"Samples/AppLifecycle/Instancing/cpp/cpp-winui-packaged","Main differs","different","baseline","same","same","release/experimental","0d035e00","#579","Samples/AppLifecycle/Instancing/cpp/cpp-winui-packaged","Retain baseline: single-project MSIX supersedes main WAP split","Reviewed: no functional migration required"
"Samples/AppLifecycle/Instancing/cpp/cpp-winui-packaged/CppWinUiDesktopInstancing/CppWinUiDesktopInstancing","Main differs","different","baseline","same","same","release/experimental","0d035e00","#579","Samples/AppLifecycle/Instancing/cpp/cpp-winui-packaged/CppWinUiDesktopInstancing/CppWinUiDesktopInstancing","Retain baseline: single-project MSIX and central package management","Reviewed: source and manifest behavior retained"
"Samples/AppLifecycle/Instancing/cpp/cpp-winui-packaged/CppWinUiDesktopInstancing/CppWinUiDesktopInstancing (Package)","Main only","branch-only","missing","missing","missing","release/experimental","0d035e00","#579","Samples/AppLifecycle/Instancing/cpp/cpp-winui-packaged/CppWinUiDesktopInstancing/CppWinUiDesktopInstancing (Package)","Omit: superseded by single-project MSIX in release/experimental #579","Reviewed: no functional migration required"
"Samples/AppLifecycle/Instancing/cs/cs-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs/cs-console-unpackaged/CsConsoleInstancing","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs/cs-winforms-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs/cs-winforms-unpackaged/CsWinFormsInstancing","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs/cs-wpf-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs/cs-wpf-unpackaged/CsWpfInstancing","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs1/cs-wpf-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs1/cs-wpf-packaged/CsWpfInstancing","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs1/cs-wpf-packaged/CsWpfInstancingPkg","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs2/cs-winui-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs2/cs-winui-packaged/CsWinUiDesktopInstancing/CsWinUiDesktopInstancing","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Instancing/cs2/cs-winui-packaged/CsWinUiDesktopInstancing/CsWinUiDesktopInstancing (Package)","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Restart/cpp-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Restart/cs-winui-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/Restart/cs-winui-packaged/cs-winui-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/RestartRegistration/cpp-winui-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/RestartRegistration/cs-winui-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/ShareTarget/WinUI-CS-ShareTargetSampleApp","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/ShareTarget/WinUI-CS-ShareTargetSampleApp/WinUI-CS-ShareTargetSampleApp","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cpp/cpp-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cpp/cpp-console-unpackaged/CppWinRtConsoleState","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cpp/cpp-win32-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cpp/cpp-win32-packaged/CppWinMainState","Main differs","different","baseline","same","same","main","18431c6d","#657","Samples/AppLifecycle/StateNotifications/cpp/cpp-win32-packaged/CppWinMainState","Port main #657 C++20 fix","Blocked: v143 toolset unavailable"
"Samples/AppLifecycle/StateNotifications/cpp/cpp-win32-packaged/CppWinMainStatePkg","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cpp/cpp-win32-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cpp/cpp-win32-unpackaged/CppWinMainState","Main differs","different","baseline","same","same","main","18431c6d","#657","Samples/AppLifecycle/StateNotifications/cpp/cpp-win32-unpackaged/CppWinMainState","Port main #657 C++20 fix","Blocked: v143 toolset unavailable"
"Samples/AppLifecycle/StateNotifications/cpp/cpp-winui-packaged","Main differs","different","baseline","same","same","release/experimental","0d035e00","#579","Samples/AppLifecycle/StateNotifications/cpp/cpp-winui-packaged","Retain baseline: single-project MSIX supersedes main WAP split","Reviewed: no functional migration required"
"Samples/AppLifecycle/StateNotifications/cpp/cpp-winui-packaged/CppWinUiDesktopState/CppWinUiDesktopState","Main differs","different","baseline","same","same","release/experimental","0d035e00","#579","Samples/AppLifecycle/StateNotifications/cpp/cpp-winui-packaged/CppWinUiDesktopState/CppWinUiDesktopState","Retain baseline: single-project MSIX and central package management","Reviewed: source and manifest behavior retained"
"Samples/AppLifecycle/StateNotifications/cpp/cpp-winui-packaged/CppWinUiDesktopState/CppWinUiDesktopState (Package)","Main only","branch-only","missing","missing","missing","release/experimental","0d035e00","#579","Samples/AppLifecycle/StateNotifications/cpp/cpp-winui-packaged/CppWinUiDesktopState/CppWinUiDesktopState (Package)","Omit: superseded by single-project MSIX in release/experimental #579","Reviewed: no functional migration required"
"Samples/AppLifecycle/StateNotifications/cs/cs-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs/cs-console-unpackaged/CsConsoleState","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs/cs-winforms-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs/cs-winforms-unpackaged/CsWinFormsState","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs/cs-wpf-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs/cs-wpf-unpackaged/CsWpfState","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs1/cs-wpf-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs1/cs-wpf-packaged/CsWpfState","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs1/cs-wpf-packaged/CsWpfStatePkg","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs2/cs-winui-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs2/cs-winui-packaged/CsWinUiDesktopState/CsWinUiDesktopState","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/AppLifecycle/StateNotifications/cs2/cs-winui-packaged/CsWinUiDesktopState/CsWinUiDesktopState (Package)","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/BackgroundTask/InProc BackgroundTask/cpp-winui","All variants differ","different","baseline","different","different","","","","","Pending review","Not run"
"Samples/BackgroundTask/InProc BackgroundTask/cpp-winui/BackgroundTaskBuilder","All variants differ","different","baseline","different","different","","","","","Pending review","Not run"
"Samples/BackgroundTask/InProc BackgroundTask/cs-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/BackgroundTask/InProc BackgroundTask/cs-winui/BackgroundTaskBuilder","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/BackgroundTask/OutOfProc BackgroundTask/cpp-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/BackgroundTask/OutOfProc BackgroundTask/cpp-winui/BackgroundTaskBuilder","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/BackgroundTask/OutOfProc BackgroundTask/cs-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/BackgroundTask/OutOfProc BackgroundTask/cs-winui/BackgroundTaskBuilder","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/CameraCaptureUI/cpp-winui","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/CameraCaptureUI/cpp-winui/cpp-winui","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/CameraCaptureUI/cswinui","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/CameraCaptureUI/cswinui/cswinui","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/CMake","2.0 experimental only","missing","missing","branch-only","missing","","","","","Pending review","Not run"
"Samples/CMake/MetapackageFrameworkDependent","2.0 experimental only","missing","missing","branch-only","missing","","","","","Pending review","Not run"
"Samples/CMake/PackagedFrameworkDependent","2.0 experimental only","missing","missing","branch-only","missing","","","","","Pending review","Not run"
"Samples/CMake/PackagedSelfContained","2.0 experimental only","missing","missing","branch-only","missing","","","","","Pending review","Not run"
"Samples/CMake/UnpackagedFrameworkDependent","2.0 experimental only","missing","missing","branch-only","missing","","","","","Pending review","Not run"
"Samples/CMake/UnpackagedSelfContained","2.0 experimental only","missing","missing","branch-only","missing","","","","","Pending review","Not run"
"Samples/Composition/DynamicRefreshRateTool/cpp-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/CustomControls","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/CustomControls/CppApp","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/CustomControls/CppAppUnpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/CustomControls/CsApp","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/CustomControls/WinUIComponentCs","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/DeploymentManager/cpp-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/DeploymentManager/cs-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/DynamicDependenciesSample/DynamicDependencies/DirectX","Main missing; release variants differ","missing","baseline","different","different","","","","","Pending review","Not run"
"Samples/Input/cs-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Insights/cpp-win32","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Installer/cpp-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Islands/cpp-win32-unpackaged","Missing from main","missing","baseline","same","same","main","72b7d1b9","#432","Samples/Islands/cpp-win32-unpackaged","Ported FlipView; retained baseline path and central package management","Blocked: pre-existing duplicate runtime auto-initializer"
"Samples/Islands/cs-winforms-unpackaged","Main only","branch-only","missing","missing","missing","main","4d1f233a","#386","Samples/Islands/cs-winforms-unpackaged","Imported from main; normalized to central package management","Passed: x64 Release"
"Samples/Islands/DrawingIsland","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/Islands/DrawingIsland/DrawingCppTestApp","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/Islands/DrawingIsland/DrawingCppTestPackage","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/Islands/DrawingIsland/DrawingCsTestApp","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/Islands/DrawingIsland/DrawingCsTestPackage","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/Islands/DrawingIsland/DrawingIslandComponents","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/Islands/DrawingIsland/DrawingIslandCsProjection","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/Islands/SampleWinUIClassLibrary","Main only","branch-only","missing","missing","missing","main","aaff62fc","#518","Samples/Islands/SampleWinUIClassLibrary","Imported from main; normalized to central package management","Passed: x64 Release"
"Samples/Islands/SimpleIslandApp/cpp-win32-unpackaged","Main only","branch-only","missing","missing","missing","main","562c3091","#439","Samples/Islands/SimpleIslandApp/cpp-win32-unpackaged","Omit directory move; reconciled into baseline path","Not applicable: no duplicate imported"
"Samples/Islands/UXFrameworksOnIslands","Main differs","different","baseline","same","same","main","18431c6d","#657","Samples/Islands/UXFrameworksOnIslands","Port main #657 compiler fix","Blocked: v143 toolset unavailable"
"Samples/Mica/cpp-WebView2","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Mica/cpp-WebView2/Mica-WebView2","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Mica/cpp-win32","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Mica/cpp-win32/WinAppSDKMicaSample","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Notifications/App/CppUnpackagedAppNotifications","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Notifications/App/CppUnpackagedAppNotifications/CppUnpackagedAppNotifications","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Notifications/App/CsUnpackagedAppNotifications","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Notifications/App/CsUnpackagedAppNotifications/CsUnpackagedAppNotifications","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Notifications/Badge/cpp-winui","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/Notifications/Badge/cswinui","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/Notifications/Push/cpp-console-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Notifications/Push/cpp-console-packaged/cpp-console-package","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Notifications/Push/cpp-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/OAuth2Manager/cpp-winui","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/OAuth2Manager/cpp-winui/TestOAuthInCPlusPlus","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/OAuth2Manager/cs-winui","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/OAuth2Manager/cs-winui/TestOAuthCSharp","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/PhotoEditor/cpp-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/PhotoEditor/cpp-winui/PhotoEditor","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/PhotoEditor/cs-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/ResourceManagement/cpp/cpp-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/ResourceManagement/cpp/cpp-winui","Main differs","different","baseline","same","same","release/experimental","0d035e00","#579","Samples/ResourceManagement/cpp/cpp-winui","Retain baseline: single-project MSIX supersedes main WAP split","Reviewed: no functional migration required"
"Samples/ResourceManagement/cpp/cpp-winui/winui_desktop_packaged_app_cpp","Main differs","different","baseline","same","same","release/experimental","0d035e00","#579","Samples/ResourceManagement/cpp/cpp-winui/winui_desktop_packaged_app_cpp","Retain baseline: single-project MSIX and central package management","Reviewed: source, assets, and manifest behavior retained"
"Samples/ResourceManagement/cpp/cpp-winui/winui_desktop_packaged_app_cpp (Package)","Main only","branch-only","missing","missing","missing","release/experimental","0d035e00","#579","Samples/ResourceManagement/cpp/cpp-winui/winui_desktop_packaged_app_cpp (Package)","Omit: superseded by single-project MSIX in release/experimental #579","Reviewed: no functional migration required"
"Samples/ResourceManagement/cs/cs-winforms-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/ResourceManagement/cs/cs-winui","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/ResourceManagement/cs/cs-winui/ClassLibrary","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/ResourceManagement/cs/cs-winui/winui_desktop_packaged_app","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/ResourceManagement/cs/cs-winui/winui_desktop_packaged_app (Package)","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/ResourceManagement/cs1/cs-wpf","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/ResourceManagement/cs1/cs-wpf/wpf_packaged_app","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/ResourceManagement/cs1/cs-wpf/wpf_packaged_app (Package)","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/Demos/DepthDemo/DepthDemoApp","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/Demos/DepthDemo/DepthDemoPackage","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/Demos/EffectEditor/EffectEditorApp","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/Demos/EffectEditor/EffectEditorPackage","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/Demos/MaterialCreator/MaterialCreatorApp","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/Demos/MaterialCreator/MaterialCreatorPackage","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/ExpressionBuilder","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/ExpressionBuilder/ExpressionBuilder","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/SampleGalleryApp","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/SampleGalleryPackage","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SceneGraph/SamplesCommon/SamplesCommon","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SecureUI","Main only","branch-only","missing","missing","missing","main","d3922307","#415","Samples/SecureUI","Exclude: incomplete isolated-desktop test; review Windowing #415 separately","Reviewed: no runnable desktop setup or public documentation"
"Samples/SecureUI/Package","Main only","branch-only","missing","missing","missing","main","d3922307","#415","Samples/SecureUI/Package","Exclude with SecureUI test project","Reviewed: test metadata and contributor-specific publisher"
"Samples/SecureUI/Windowing","Main only","branch-only","missing","missing","missing","main","d3922307","#415","Samples/SecureUI/Windowing","Exclude duplicate test project; port applicable Windowing #415 changes separately","Reviewed: only unique behavior depends on a pre-existing isolated desktop"
"Samples/SelfContainedDeployment/cpp/cpp-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SelfContainedDeployment/cpp/cpp-winui-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SelfContainedDeployment/cpp/cpp-winui-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SelfContainedDeployment/cs/cs-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SelfContainedDeployment/cs/cs-wpf-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SelfContainedDeployment/cs1/cs-winui-packaged-wap","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SelfContainedDeployment/cs1/cs-winui-packaged-wap/SelfContainedDeployment","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SelfContainedDeployment/cs1/cs-winui-packaged-wap/SelfContainedDeployment (Package)","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SelfContainedDeployment/cs2/cs-winui-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/SelfContainedDeployment/cs2/cs-winui-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/StoragePickers/cpp-sample","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/StoragePickers/cs-sample","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/TextRendering/cpp-win32","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/TextRendering/cpp-win32/DWriteCoreGallery","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/TextRendering/cpp-win32/DWriteCoreGallery (packaging)","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Unpackaged/cpp-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Unpackaged/cs-console-unpackaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
"Samples/Unpackaged/cs-winforms-unpackaged","Missing from main","missing","baseline","same","same","","","","","Pending review","Not run"
"Samples/Widgets/cpp-win32-packaged","Main differs","different","baseline","same","same","","","","","Pending review","Not run"
